sample,total_count,cell_type,population,percentage
0,93214,b_cell,10908,11.702104834037806
0,93214,nk_cell,13864,14.873302293646878
0,93214,cd4_t_cell,20491,21.98274937241187
0,93214,monocyte,23511,25.222606046302058
0,93214,cd8_t_cell,24440,26.21923745360139
1,100824,cd4_t_cell,33459,33.1855510592716
1,100824,nk_cell,18170,18.021502816789653
1,100824,monocyte,23011,22.822938982781878
1,100824,b_cell,6777,6.721613901452035
1,100824,cd8_t_cell,19407,19.248393239704832
2,92822,cd8_t_cell,22940,24.713968671220186
2,92822,monocyte,18332,19.749628320872205
2,92822,cd4_t_cell,24274,26.151127965353044
2,92822,b_cell,9794,10.551377906099848
2,92822,nk_cell,17482,18.83389713645472
3,93160,cd8_t_cell,20271,21.75933877200515
3,93160,monocyte,12610,13.53585229712323
3,93160,nk_cell,14041,15.07191927866037
3,93160,cd4_t_cell,36157,38.81172176899957
3,93160,b_cell,10081,10.821167883211679
4,107903,cd8_t_cell,33778,31.304041592912153
4,107903,monocyte,14933,13.83928157697191
4,107903,nk_cell,16527,15.316534294690602
4,107903,b_cell,4372,4.05178725336645
4,107903,cd4_t_cell,38293,35.48835528205888
5,105359,cd4_t_cell,30805,29.23812868383337
5,105359,nk_cell,11404,10.823944798261182
5,105359,cd8_t_cell,31940,30.315397830275536
5,105359,b_cell,15431,14.64611471255422
5,105359,monocyte,15779,14.976413975075694
6,99774,b_cell,5897,5.910357407741495
6,99774,cd4_t_cell,28319,28.383145909756045
6,99774,cd8_t_cell,31296,31.36688916952312
6,99774,nk_cell,12656,12.684667348206949
6,99774,monocyte,21606,21.654940164772384
7,98424,monocyte,18031,18.319718767780216
7,98424,cd4_t_cell,33870,34.4123384540356
7,98424,b_cell,10403,10.569576526050557
7,98424,nk_cell,22616,22.978135414126637
7,98424,cd8_t_cell,13504,13.72023083800699
8,90353,monocyte,16378,18.126680907108785
8,90353,cd8_t_cell,26215,29.013978506524406
8,90353,cd4_t_cell,21307,23.581950793000786
8,90353,b_cell,8829,9.771673325733513
8,90353,nk_cell,17624,19.50571646763251
9,95821,cd4_t_cell,21097,22.01709437388464
9,95821,nk_cell,18064,18.85181745128938
9,95821,cd8_t_cell,33334,34.78778138403899
9,95821,monocyte,15676,16.35967063587314
9,95821,b_cell,7650,7.9836361549138495
10,107537,monocyte,31913,29.676297460408975
10,107537,cd8_t_cell,21339,19.843402735802563
10,107537,nk_cell,13209,12.283214149548527
10,107537,b_cell,13203,12.277634674577122
10,107537,cd4_t_cell,27873,25.919450979662813
11,89815,nk_cell,13520,15.053164838835384
11,89815,monocyte,16497,18.367755942771254
11,89815,cd8_t_cell,19786,22.02972777375717
11,89815,cd4_t_cell,29391,32.72393252797417
11,89815,b_cell,10621,11.825418916662027
12,109579,cd4_t_cell,40320,36.79537137590232
12,109579,b_cell,14128,12.89298131941339
12,109579,monocyte,18802,17.158397138137783
12,109579,cd8_t_cell,21720,19.821316128090235
12,109579,nk_cell,14609,13.331934038456271
13,109488,cd4_t_cell,31697,28.95020458863072
